ID,Date (Masonic Timeline),Type (Masonic Timeline),Details (Masonic Timeline),Additional Information (Masonic Timeline)
72248,2020,LO,AUDITOR,AUDITOR [15] E/R 2020 [MON]
72248,2021,LO,AUDITOR,AUDITOR  [15] MY 2021 PER 2021 E/R [JOEL]
72248,2024,LO,TREASURER,Treasurer [15] E/R 2024 [lara]
72248,2025,LO,TREASURER,Treasurer [15] E/R 2025 [Lara]
72292,2016,LO,JW,JW (69) 2016 ER [JEN];
72292,2017,LO,SW,SW (69) 2017 ER [JEN];
72292,2018,LO,WM,WM(69) 2018ER (JOEL);
72292,2019,LO,SECRETARY,SEC(69)E/R2019[JOAN]
72292,2020,LO,TREASURER,TREASURER [69] E/R 2020 [MON]
72292,2022,LO,TREASURER,Treasurer [69] Er 2022 - [lara]
72292,2023,LO,TREASURER,Treasurer [69] E/R 2023 [lara]
72292,2024,LO,TREASURER,Treasurer [69] ER 2024 [Lara]
72292,2025,LO,TREASURER,Treasurer [69] E/R 2025 [Lara]
72297,2020,LO,JW,JW [431] E/R 2020 [MON]
72297,2022,LO,SW,SW [431] Er 2022  [lara]
72297,2023,LO,WM,WM [431] E/R 2023 [lara]
72434,2018,LO,JW,JW(15) 2018 (JOEL);
72434,2019,LO,SW,SW(15)E/R2019[JOAN]
72434,2020,LO,WM,WM [15] E/R 2020 [MON]
72638,2010,LO,SW,SW (15) 2010 ER (ann04/06/10); 
72638,2016,LO,SECRETARY,SEC (270) 2016 ER [JEN];
72638,2017,LO,SECRETARY,SEC (270) 2017 ER [JEN];
72638,2018,LO,SECRETARY,SEC(270)E/R(JOEL)
72638,2019,LO,JW,JW(270)E/R 2019 (RONA)
72638,2020,LO,WM,WM [442] E/R 2020 [MON]
72638,2022,LO,SECRETARY,Sec [442] Er 2022  [lara]
72638,2023,LO,SECRETARY,Sec [442] E/R 2023 [lara]
72638,2025,LO,SECRETARY,Sec [442] ER 2025 [Lara]
72789,2020,LO,JW,JW [442] E/R 2020 [MON]
73020,2012,LO,SECRETARY,SEC (69) 2012 ER [JEN];
73020,2013,LO,SECRETARY,SEC (69) 2013 ER [JEN]; 
73020,2022,LO,JW,JW [305] Er 2022  [lara]
73020,2023,LO,SW,SW [305] E/R 2023 [lara]
73020,2024,LO,WM,WM [305] ER 2024 [lara]
